               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10314,             0.07844,            0.026421,                   0,                   0,                   0,                   0,             0.10102,            0.099991,            0.025792,            0.070288,           0.0033013,           0.0033013
                   1,            0.095819,            0.074794,            0.023014,             0.53488,            0.095759,            0.020332,           0.0052879,            0.098016,            0.093856,           0.0060375,            0.040256,           0.0066018,           0.0066018
                   2,            0.087611,            0.067581,            0.017088,             0.52099,              0.0875,            0.014007,           0.0049772,            0.086955,             0.16023,           0.0044928,             0.01019,           0.0098693,           0.0098693
                   3,            0.079802,            0.064952,             0.01028,               0.639,             0.28437,             0.13455,            0.058078,            0.067918,            0.072845,           0.0036439,           0.0098515,           0.0098515,           0.0098515
                   4,            0.072645,            0.062864,           0.0063457,             0.64723,             0.24777,             0.14055,            0.060133,            0.075208,            0.062229,           0.0038995,           0.0098515,           0.0098515,           0.0098515
                   5,            0.068782,            0.062245,           0.0044111,             0.82366,             0.31897,             0.30741,             0.12386,            0.060931,            0.055591,           0.0058165,            0.009802,            0.009802,            0.009802
                   6,            0.064122,            0.058505,            0.003298,             0.79137,             0.25871,              0.2526,            0.090393,            0.064566,            0.060351,           0.0054901,           0.0097525,           0.0097525,           0.0097525
                   7,            0.061835,            0.058766,           0.0025322,             0.45987,             0.36064,             0.40507,             0.19031,            0.052481,            0.056806,           0.0095478,            0.009703,            0.009703,            0.009703
                   8,            0.058353,            0.057577,           0.0019848,             0.96862,              0.4154,             0.44745,             0.22046,            0.048662,            0.046733,           0.0011296,           0.0096535,           0.0096535,           0.0096535
                   9,             0.05623,            0.055077,           0.0018589,             0.97224,             0.41018,             0.44965,             0.24185,            0.045127,            0.045909,           0.0013315,            0.009604,            0.009604,            0.009604
                  10,            0.053655,             0.05355,           0.0015562,             0.43187,             0.49576,             0.45388,             0.21307,            0.048874,            0.048151,           0.0022809,           0.0095545,           0.0095545,           0.0095545
                  11,            0.051754,            0.052687,           0.0015689,             0.44905,             0.36394,             0.41347,             0.22871,            0.049801,            0.054645,           0.0065703,            0.009505,            0.009505,            0.009505
                  12,            0.049443,            0.051191,           0.0012087,             0.97235,             0.41652,             0.46414,             0.22884,            0.044713,            0.043666,           0.0013979,           0.0094555,           0.0094555,           0.0094555
                  13,            0.049646,            0.049897,           0.0010744,             0.47522,             0.41526,             0.46428,             0.25828,            0.042895,            0.045183,           0.0021663,            0.009406,            0.009406,            0.009406
                  14,            0.047021,            0.050618,           0.0010823,             0.47961,              0.3942,             0.44339,             0.24414,            0.045168,            0.050528,           0.0044406,           0.0093565,           0.0093565,           0.0093565
                  15,             0.04732,            0.049183,           0.0010581,              0.9699,             0.40077,             0.42831,             0.19149,            0.049173,            0.047909,           0.0019629,            0.009307,            0.009307,            0.009307
                  16,            0.045308,            0.047762,          0.00092817,             0.47676,             0.42588,             0.48075,              0.2336,            0.044986,            0.043872,          0.00056652,           0.0092575,           0.0092575,           0.0092575
                  17,            0.045334,              0.0485,          0.00086462,             0.40163,             0.66764,             0.56528,             0.28546,            0.040276,            0.043523,          0.00063108,            0.009208,            0.009208,            0.009208
                  18,            0.044029,            0.047519,           0.0008659,              0.4798,             0.41897,             0.46067,             0.25903,             0.04224,            0.044776,           0.0020031,           0.0091585,           0.0091585,           0.0091585
                  19,            0.043997,            0.047292,          0.00076579,             0.49247,             0.57879,             0.48835,             0.28309,            0.037592,            0.041983,           0.0010773,            0.009109,            0.009109,            0.009109
                  20,            0.043401,            0.047341,          0.00074419,             0.48623,             0.42568,             0.46208,             0.27445,            0.039784,            0.044748,           0.0039464,           0.0090595,           0.0090595,           0.0090595
                  21,            0.042316,            0.046045,          0.00066982,             0.47943,             0.51406,             0.49271,             0.28477,            0.037989,            0.041499,           0.0015992,             0.00901,             0.00901,             0.00901
                  22,            0.041947,            0.045737,           0.0006976,              0.5355,             0.46406,              0.4783,             0.26443,             0.04095,            0.047946,           0.0012214,           0.0089605,           0.0089605,           0.0089605
                  23,            0.041436,            0.045767,          0.00067095,             0.45856,             0.58765,             0.48869,             0.29395,             0.03655,            0.040057,          0.00046692,            0.008911,            0.008911,            0.008911
                  24,            0.041011,            0.044599,          0.00078286,              0.5379,             0.57545,             0.51594,             0.28941,            0.036672,            0.040808,          0.00076882,           0.0088615,           0.0088615,           0.0088615
                  25,            0.040057,            0.044297,           0.0006001,             0.50666,             0.56786,              0.4839,               0.283,            0.038035,            0.042992,          0.00067733,            0.008812,            0.008812,            0.008812
                  26,            0.040631,             0.04506,           0.0006304,             0.58774,             0.64263,             0.57881,             0.32268,            0.036541,            0.041132,          0.00037201,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039345,            0.044207,          0.00050333,             0.55044,             0.57232,             0.49908,             0.29562,            0.037269,            0.042352,           0.0015687,            0.008713,            0.008713,            0.008713
                  28,             0.03854,            0.044118,          0.00058417,             0.55196,              0.5655,             0.52073,             0.30179,            0.037297,            0.040764,           0.0017828,           0.0086635,           0.0086635,           0.0086635
                  29,            0.038143,            0.043488,          0.00049136,             0.44847,              0.5846,             0.47703,             0.29025,            0.036257,            0.041477,           0.0014142,            0.008614,            0.008614,            0.008614
                  30,            0.039278,            0.043791,          0.00047178,             0.54733,              0.6971,             0.52061,             0.30247,            0.035965,            0.041952,          0.00057996,           0.0085645,           0.0085645,           0.0085645
                  31,            0.038579,            0.043544,          0.00050294,             0.54947,             0.64219,             0.53413,             0.30914,            0.036409,             0.04004,            0.001474,            0.008515,            0.008515,            0.008515
                  32,            0.037919,            0.042527,          0.00050681,             0.44755,             0.64554,             0.48539,             0.28679,            0.036866,            0.040643,          0.00039013,           0.0084655,           0.0084655,           0.0084655
                  33,            0.036867,            0.041339,          0.00047247,             0.48866,             0.57857,             0.49933,             0.29198,            0.036962,            0.040327,          0.00057512,            0.008416,            0.008416,            0.008416
